用户Id,板块集连续性,时间戳,频率特性和,次数
,,,,,频率
393806,232,1502633351376,1.0298661174,2
348934,39,1502543979029,38.61085747359565,40
183390,206,1502675646037,0.7593038921688716,2
446072,27,1502681074967,15.789378889144533,24
,,,,,板块集
385066,206,1502681927710,13.48033341682961,24
450710,31,1502632440916,1.828157030437069,2
440576,206,1502678236881,13.436343324746458,18
405946,82,1502676836989,0.765696784074,2
420366,246,1502413574458,1.4662773512751963,2
418481,27,1502682157800,18.245212591326613,18
420543,142,1502632218369,4.76018569745071,8
232505,199,1502671816648,24.43998084919336,18
437092,287,1502678977948,36.29974609566233,38
453580,208,1502666930380,4.09466571482839,7
431232,283,1502693450144,89.73888822240532,124
451437,233,1502447894280,37.938698261561356,42
443555,124,1502677374694,120.98929771554171,120
449933,92,1502416771865,1.156081249890021,2
439741,27,1502682760890,23.725452870624164,32
385611,27,1502438056114,1.32100396301,2
437754,9,1502672861497,1.5600644528222483,2
446000,231,1502680736939,54.11696994695575,34
75328,27,1502418927233,1.3072014451290428,2
427282,65,1502680190712,71.82923201208746,76
423536,233,1502671495408,7.518509132177957,4
427825,4,1502637706926,0.6265698170098029,2
442178,206,1502676422243,48.15234905977697,28
450419,41,1502628771666,3.9983337810401447,32
438181,206,1502676657721,10.65012182611292,16
439289,233,1502627398482,2.7950342588620365,6
440283,35,1502635842116,6.159393678809419,16
