用户Id,板块集,频率,时间
447578,79,2632.0,2017-08-07 15:21:01
143054,7,1026.0,2017-08-10 08:46:53
447060,186,912.0,2017-08-08 09:47:43
442178,31,866.0,2017-08-07 20:25:22
325483,117,731.0,2017-08-09 08:44:03
441724,31,725.0,2017-08-07 23:16:32
444615,31,660.0,2017-08-07 16:50:12
224007,208,594.0,2017-08-09 10:08:55
440596,7,557.0,2017-08-07 20:13:27
10011,187,507.0,2017-08-07 19:31:39
446000,55,466.0,2017-08-08 08:24:03
443555,47,445.0,2017-08-07 16:12:32
437246,36,361.0,2017-08-07 15:59:17
301780,47,346.0,2017-08-08 08:52:19
441696,47,325.0,2017-08-07 21:16:00
450695,12,315.0,2017-08-08 15:13:33
450686,25,311.0,2017-08-08 15:04:21
451348,49,307.0,2017-08-09 13:36:19
449165,205,307.0,2017-08-08 09:25:02
448550,47,297.0,2017-08-07 22:52:58
